ensembl_id,most_likely_path,max_PP,gene_symbol
ENSG00000167657,Up-Down-Up,0.5145,DAPK3
ENSG00000167671,Up-Down-Up,0.5099,UBXN6
ENSG00000167702,Up-Down-Up,0.5832,KIFC2
ENSG00000167747,Up-Down-Up,0.5269,C19orf48
ENSG00000167775,Up-Down-Up,0.5825,CD320
ENSG00000167779,Up-Down-Up,0.5226,IGFBP6
ENSG00000167880,Up-Down-Up,0.5266,EVPL
ENSG00000167925,Up-Down-Up,0.5359,GHDC
ENSG00000167967,Up-Down-Up,0.633,E4F1
ENSG00000167969,Up-Down-Up,0.5342,ECI1
ENSG00000168010,Up-Down-Up,0.6485,ATG16L2
ENSG00000168397,Up-Down-Up,0.5581,ATG4B
ENSG00000168556,Down-Up-Down,0.5303,ING2
ENSG00000168566,Down-Up-Down,0.5011,SNRNP48
ENSG00000168758,Up-Down-Up,0.5186,SEMA4C
ENSG00000168795,Down-Down-Up,0.5162,ZBTB5
ENSG00000169255,Down-Up-Down,0.5221,B3GALNT1
ENSG00000169359,Down-Up-Down,0.6528,SLC33A1
ENSG00000169429,Down-Up-Down,0.5056,CXCL8
ENSG00000169607,Down-Up-Down,0.5094,CKAP2L
ENSG00000169683,Up-Down-Up,0.5799,LRRC45
ENSG00000169692,Up-Down-Up,0.5101,AGPAT2
ENSG00000169718,Up-Down-Up,0.7646,DUS1L
ENSG00000169727,Up-Down-Up,0.5525,GPS1
ENSG00000169733,Up-Down-Up,0.5995,RFNG
ENSG00000169972,Up-Down-Up,0.5321,PUSL1
ENSG00000170312,Down-Down-Down,0.5816,CDK1
ENSG00000170315,Up-Down-Up,0.5,UBB
ENSG00000170581,Down-Down-Up,0.5018,STAT2
ENSG00000170638,Up-Down-Up,0.563,TRABD
ENSG00000171159,Up-Down-Up,0.5018,C9orf16
ENSG00000171241,Down-Up-Down,0.5003,SHCBP1
ENSG00000171703,Up-Down-Up,0.5074,TCEA2
ENSG00000171858,Up-Down-Up,0.7895,RPS21
ENSG00000172009,Up-Down-Up,0.502,THOP1
ENSG00000172037,Up-Down-Up,0.5322,LAMB2
ENSG00000172167,Down-Up-Down,0.5348,MTBP
ENSG00000172270,Up-Down-Up,0.5,BSG
ENSG00000172354,Up-Down-Up,0.5801,GNB2
ENSG00000172725,Up-Down-Up,0.5106,CORO1B
ENSG00000172927,Up-Down-Up,0.5021,MYEOV
